number	book	chapter	verse	trchapter	trverse	trtext
4624	4	29	14	29	14	along with the grain offering of three-tenths of an ephah of fine flour mixed with oil with each of the thirteen bulls, two-tenths of an ephah with each of the two rams,
4625	4	29	15	29	15	and a tenth of an ephah with each of the fourteen lambs.
4626	4	29	16	29	16	Include one male goat as a sin offering, in addition to the regular burnt offering with its grain offering and drink offering.
4627	4	29	17	29	17	On the second day you are to present twelve young bulls, two rams, and fourteen male lambs a year old, all unblemished,
4628	4	29	18	29	18	along with the grain and drink offerings for the bulls, rams, and lambs, according to the number prescribed.
4629	4	29	19	29	19	Include one male goat as a sin offering, in addition to the regular burnt offering with its grain offering and drink offering.
4630	4	29	20	29	20	On the third day you are to present eleven bulls, two rams, and fourteen male lambs a year old, all unblemished,
4631	4	29	21	29	21	along with the grain and drink offerings for the bulls, rams, and lambs, according to the number prescribed.
4632	4	29	22	29	22	Include one male goat as a sin offering, in addition to the regular burnt offering with its grain offering and drink offering.
4633	4	29	23	29	23	On the fourth day you are to present ten bulls, two rams, and fourteen male lambs a year old, all unblemished,
4634	4	29	24	29	24	along with the grain and drink offerings for the bulls, rams, and lambs, according to the number prescribed.
4635	4	29	25	29	25	Include one male goat as a sin offering, in addition to the regular burnt offering with its grain offering and drink offering.
4636	4	29	26	29	26	On the fifth day you are to present nine bulls, two rams, and fourteen male lambs a year old, all unblemished,
4637	4	29	27	29	27	along with the grain and drink offerings for the bulls, rams, and lambs, according to the number prescribed.
4638	4	29	28	29	28	Include one male goat as a sin offering, in addition to the regular burnt offering with its grain offering and drink offering.
4639	4	29	29	29	29	On the sixth day you are to present eight bulls, two rams, and fourteen male lambs a year old, all unblemished,
4640	4	29	30	29	30	along with the grain and drink offerings for the bulls, rams, and lambs, according to the number prescribed.
4641	4	29	31	29	31	Include one male goat as a sin offering, in addition to the regular burnt offering with its grain offering and drink offering.
4642	4	29	32	29	32	On the seventh day you are to present seven bulls, two rams, and fourteen male lambs a year old, all unblemished,
4643	4	29	33	29	33	along with the grain and drink offerings for the bulls, rams, and lambs, according to the number prescribed.
4644	4	29	34	29	34	Include one male goat as a sin offering, in addition to the regular burnt offering with its grain offering and drink offering.
4645	4	29	35	29	35	On the eighth day you are to hold a solemn assembly; you must not do any regular work.
4646	4	29	36	29	36	As a pleasing aroma to the LORD, you are to present an offering made by fire, a burnt offering of one bull, one ram, and seven male lambs a year old, all unblemished,
4647	4	29	37	29	37	along with the grain and drink offerings for the bulls, rams, and lambs, according to the number prescribed.
4648	4	29	38	29	38	Include one male goat as a sin offering, in addition to the regular burnt offering with its grain offering and drink offering.
4649	4	29	39	29	39	You are to present these offerings to the LORD at your appointed times, in addition to your vow and freewill offerings, whether burnt offerings, grain offerings, drink offerings, or peace offerings.”
4650	4	30	1	29	40	So Moses spoke all this to the Israelites just as the LORD had commanded him.
4651	4	30	2	30	1	Then Moses said to the heads of the tribes of Israel, “This is what the LORD has commanded:
4652	4	30	3	30	2	If a man makes a vow to the LORD or swears an oath to obligate himself by a pledge, he must not break his word; he must do everything he has promised.
4653	4	30	4	30	3	And if a woman in her father’s house during her youth makes a vow to the LORD or obligates herself by a pledge,
4654	4	30	5	30	4	and her father hears about her vow or pledge but says nothing to her, all the vows and pledges with which she has bound herself shall stand.
4655	4	30	6	30	5	But if her father prohibits her on the day he hears about it, none of the vows or pledges with which she has bound herself are binding. The LORD will absolve her because her father has prohibited her.
4656	4	30	7	30	6	If a woman marries while under a vow or rash promise by which she has bound herself,
4657	4	30	8	30	7	and her husband hears of it but says nothing to her on that day, then the vows and pledges by which she has bound herself shall stand.
4658	4	30	9	30	8	But if her husband prohibits her when he hears of it, he nullifies the vow that binds her or the rash promise she has made, and the LORD will absolve her.
4659	4	30	10	30	9	Every vow a widow or divorced woman pledges to fulfill is binding on her.
4660	4	30	11	30	10	If a woman in her husband’s house has made a vow or put herself under an obligation with an oath,
4661	4	30	12	30	11	and her husband hears of it but says nothing to her and does not prohibit her, then all the vows and obligations with which she has bound herself shall stand.
4662	4	30	13	30	12	But if her husband nullifies them on the day he hears of them, then nothing that came from her lips, whether her vows or her obligations, shall stand. Her husband has nullified them, and the LORD will absolve her.
4663	4	30	14	30	13	Her husband may confirm or nullify any vow or any sworn pledge to deny herself.
4664	4	30	15	30	14	But if her husband says nothing to her from day to day, then he confirms all the vows and pledges that bind her. He has confirmed them, because he said nothing to her on the day he heard about them.
4665	4	30	16	30	15	But if he nullifies them after he hears of them, then he will bear her iniquity.”
4666	4	30	17	30	16	These are the statutes that the LORD commanded Moses concerning the relationship between a man and his wife, and between a father and a young daughter still in his home.
4667	4	31	1	31	1	And the LORD said to Moses,
4668	4	31	2	31	2	“Take vengeance on the Midianites for the Israelites. After that, you will be gathered to your people.”
4669	4	31	3	31	3	So Moses told the people, “Arm some of your men for war, that they may go against the Midianites and execute the LORD’s vengeance on them.
4670	4	31	4	31	4	Send into battle a thousand men from each tribe of Israel.”
4671	4	31	5	31	5	So a thousand men were recruited from each tribe of Israel—twelve thousand armed for war.
4672	4	31	6	31	6	And Moses sent the thousand from each tribe into battle, along with Phinehas son of Eleazar the priest, who took with him the vessels of the sanctuary and the trumpets for signaling.
4673	4	31	7	31	7	Then they waged war against Midian, as the LORD had commanded Moses, and they killed every male.
4674	4	31	8	31	8	Among the slain were Evi, Rekem, Zur, Hur, and Reba—the five kings of Midian. They also killed Balaam son of Beor with the sword.
4675	4	31	9	31	9	The Israelites captured the Midianite women and their children, and they plundered all their herds, flocks, and goods.
4676	4	31	10	31	10	Then they burned all the cities where the Midianites had lived, as well as all their encampments,
4677	4	31	11	31	11	and carried away all the plunder and spoils, both people and animals.
4678	4	31	12	31	12	They brought the captives, spoils, and plunder to Moses, to Eleazar the priest, and to the congregation of Israel at the camp on the plains of Moab, by the Jordan across from Jericho.
4679	4	31	13	31	13	And Moses, Eleazar the priest, and all the leaders of the congregation went to meet them outside the camp.
4680	4	31	14	31	14	But Moses was angry with the officers of the army—the commanders of thousands and commanders of hundreds—who were returning from the battle.
4681	4	31	15	31	15	“Have you spared all the women?” he asked them.
4682	4	31	16	31	16	“Look, these women caused the sons of Israel, through the counsel of Balaam, to turn unfaithfully against the LORD at Peor, so that the plague struck the congregation of the LORD.
4683	4	31	17	31	17	So now, kill all the boys, as well as every woman who has had relations with a man,
4684	4	31	18	31	18	but spare for yourselves every girl who has never had relations with a man.
4685	4	31	19	31	19	All of you who have killed a person or touched the dead are to remain outside the camp for seven days. On the third day and the seventh day you are to purify both yourselves and your captives.
4686	4	31	20	31	20	And purify every garment and leather good, everything made of goat’s hair, and every article of wood.”
4687	4	31	21	31	21	Then Eleazar the priest said to the soldiers who had gone into battle, “This is the statute of the law which the LORD has commanded Moses:
4688	4	31	22	31	22	Only the gold, silver, bronze, iron, tin, and lead—
4689	4	31	23	31	23	everything that can withstand the fire—must be put through the fire, and it will be clean. But it must still be purified with the water of purification. And everything that cannot withstand the fire must pass through the water.
4690	4	31	24	31	24	On the seventh day you are to wash your clothes, and you will be clean. After that you may enter the camp.”
4691	4	31	25	31	25	The LORD said to Moses,
4692	4	31	26	31	26	“You and Eleazar the priest and the family heads of the congregation are to take a count of what was captured, both of man and beast.
4693	4	31	27	31	27	Then divide the captives between the troops who went out to battle and the rest of the congregation.
4694	4	31	28	31	28	Set aside a tribute for the LORD from what belongs to the soldiers who went into battle: one out of every five hundred, whether persons, cattle, donkeys, or sheep.
4695	4	31	29	31	29	Take it from their half and give it to Eleazar the priest as an offering to the LORD.
4696	4	31	30	31	30	From the Israelites’ half, take one out of every fifty, whether persons, cattle, donkeys, sheep, or other animals, and give them to the Levites who keep charge of the tabernacle of the LORD.”
4697	4	31	31	31	31	So Moses and Eleazar the priest did as the LORD had commanded Moses,
4698	4	31	32	31	32	and this plunder remained from the spoils the soldiers had taken: 675,000 sheep,
4699	4	31	33	31	33	72,000 cattle,
4700	4	31	34	31	34	61,000 donkeys,
4701	4	31	35	31	35	and 32,000 women who had not slept with a man.
4702	4	31	36	31	36	This was the half portion for those who had gone to war: 337,500 sheep,
4703	4	31	37	31	37	including a tribute to the LORD of 675,
4704	4	31	38	31	38	36,000 cattle, including a tribute to the LORD of 72,
4705	4	31	39	31	39	30,500 donkeys, including a tribute to the LORD of 61,
4706	4	31	40	31	40	and 16,000 people, including a tribute to the LORD of 32.
4707	4	31	41	31	41	Moses gave the tribute to Eleazar the priest as an offering for the LORD, as the LORD had commanded Moses.
4708	4	31	42	31	42	From the Israelites’ half, which Moses had set apart from the men who had gone to war,
4709	4	31	43	31	43	this half belonged to the congregation: 337,500 sheep,
4710	4	31	44	31	44	36,000 cattle,
4711	4	31	45	31	45	30,500 donkeys,
4712	4	31	46	31	46	and 16,000 people.
4713	4	31	47	31	47	From the Israelites’ half, Moses took one out of every fifty persons and animals and gave them to the Levites who kept charge of the tabernacle of the LORD, as the LORD had commanded him.
4714	4	31	48	31	48	Then the officers who were over the units of the army—the commanders of thousands and of hundreds—approached Moses
4715	4	31	49	31	49	and said, “Your servants have counted the soldiers under our command, and not one of us is missing.
4716	4	31	50	31	50	So we have brought to the LORD an offering of the gold articles each man acquired—armlets, bracelets, rings, earrings, and necklaces—to make atonement for ourselves before the LORD.”
4717	4	31	51	31	51	So Moses and Eleazar the priest received from them all the articles made out of gold.
4718	4	31	52	31	52	All the gold that the commanders of thousands and of hundreds presented as an offering to the LORD weighed 16,750 shekels.
4719	4	31	53	31	53	Each of the soldiers had taken plunder for himself.
4720	4	31	54	31	54	And Moses and Eleazar the priest received the gold from the commanders of thousands and of hundreds and brought it into the Tent of Meeting as a memorial for the Israelites before the LORD.
4721	4	32	1	32	1	Now the Reubenites and Gadites, who had very large herds and flocks, surveyed the lands of Jazer and Gilead, and they saw that the region was suitable for livestock.
4722	4	32	2	32	2	So the Gadites and Reubenites came to Moses, Eleazar the priest, and the leaders of the congregation, and said,
4723	4	32	3	32	3	“Ataroth, Dibon, Jazer, Nimrah, Heshbon, Elealeh, Sebam, Nebo, and Beon,
4724	4	32	4	32	4	which the LORD conquered before the congregation of Israel, are suitable for livestock—and your servants have livestock.”
4725	4	32	5	32	5	“If we have found favor in your sight,” they said, “let this land be given to your servants as a possession. Do not make us cross the Jordan.”
4726	4	32	6	32	6	But Moses asked the Gadites and Reubenites, “Shall your brothers go to war while you sit here?
4727	4	32	7	32	7	Why are you discouraging the Israelites from crossing into the land that the LORD has given them?
4728	4	32	8	32	8	This is what your fathers did when I sent them from Kadesh-barnea to inspect the land.
4729	4	32	9	32	9	For when your fathers went up to the valley of Eshcol and saw the land, they discouraged the Israelites from entering the land that the LORD had given them.
4730	4	32	10	32	10	So the LORD’s anger was kindled that day, and He swore an oath, saying,
4731	4	32	11	32	11	‘Because they did not follow Me wholeheartedly, not one of the men twenty years of age or older who came out of Egypt will see the land that I swore to give Abraham, Isaac, and Jacob—
4732	4	32	12	32	12	not one except Caleb son of Jephunneh the Kenizzite and Joshua son of Nun—because they did follow the LORD wholeheartedly.’
4733	4	32	13	32	13	The LORD’s anger burned against Israel, and He made them wander in the wilderness forty years, until the whole generation who had done evil in His sight was gone.
4734	4	32	14	32	14	Now behold, you, a brood of sinners, have risen up in place of your fathers to further stoke the burning anger of the LORD against Israel.
4735	4	32	15	32	15	For if you turn away from following Him, He will once again leave this people in the wilderness, and you will be the cause of their destruction.”
4736	4	32	16	32	16	Then the Gadites and Reubenites approached Moses and said, “We want to build sheepfolds here for our livestock and cities for our little ones.
4737	4	32	17	32	17	But we will arm ourselves and be ready to go ahead of the Israelites until we have brought them into their place. Meanwhile, our little ones will remain in the fortified cities for protection from the inhabitants of the land.
4738	4	32	18	32	18	We will not return to our homes until every Israelite has taken possession of his inheritance.
4739	4	32	19	32	19	Yet we will not have an inheritance with them across the Jordan and beyond, because our inheritance has come to us on the east side of the Jordan.”
4740	4	32	20	32	20	Moses replied, “If you will do this—if you will arm yourselves before the LORD for battle,
4741	4	32	21	32	21	and if every one of your armed men crosses the Jordan before the LORD, until He has driven His enemies out before Him,
4742	4	32	22	32	22	then when the land is subdued before the LORD, you may return and be free of obligation to the LORD and to Israel. And this land will belong to you as a possession before the LORD.
4743	4	32	23	32	23	But if you do not do this, you will certainly sin against the LORD—and be assured that your sin will find you out.
4744	4	32	24	32	24	Build cities for your little ones and folds for your flocks, but do what you have promised.”
4745	4	32	25	32	25	The Gadites and Reubenites said to Moses, “Your servants will do just as our lord commands.
4746	4	32	26	32	26	Our children, our wives, our livestock, and all our animals will remain here in the cities of Gilead.
4747	4	32	27	32	27	But your servants are equipped for war, and every man will cross over to the battle before the LORD, just as our lord says.”
4748	4	32	28	32	28	So Moses gave orders about them to Eleazar the priest, to Joshua son of Nun, and to the family leaders of the tribes of Israel.
4749	4	32	29	32	29	And Moses said to them, “If the Gadites and Reubenites cross the Jordan with you, with every man armed for battle before the LORD, and the land is subdued before you, then you are to give them the land of Gilead as a possession.
4750	4	32	30	32	30	But if they do not arm themselves and go across with you, they must accept their possession among you in the land of Canaan.”
4751	4	32	31	32	31	The Gadites and Reubenites replied, “As the LORD has spoken to your servants, so we will do.
4752	4	32	32	32	32	We will cross over into the land of Canaan armed before the LORD, that we may have our inheritance on this side of the Jordan.”
4753	4	32	33	32	33	So Moses gave to the Gadites, to the Reubenites, and to the half-tribe of Manasseh son of Joseph the kingdom of Sihon king of the Amorites and the kingdom of Og king of Bashan—the land including its cities and the territory surrounding them.
4754	4	32	34	32	34	And the Gadites built up Dibon, Ataroth, Aroer,
4755	4	32	35	32	35	Atroth-shophan, Jazer, Jogbehah,
4756	4	32	36	32	36	Beth-nimrah, and Beth-haran as fortified cities, and they built folds for their flocks.
4757	4	32	37	32	37	The Reubenites built up Heshbon, Elealeh, Kiriathaim,
4758	4	32	38	32	38	as well as Nebo and Baal-meon (whose names were changed), and Sibmah. And they renamed the cities they rebuilt.
4759	4	32	39	32	39	The descendants of Machir son of Manasseh went to Gilead, captured it, and drove out the Amorites who were there.
4760	4	32	40	32	40	So Moses gave Gilead to the clan of Machir son of Manasseh, and they settled there.
4761	4	32	41	32	41	Jair, a descendant of Manasseh, went and captured their villages and called them Havvoth-jair.
4762	4	32	42	32	42	And Nobah went and captured Kenath and its villages and called it Nobah, after his own name.
4763	4	33	1	33	1	These are the journeys of the Israelites as they came out of the land of Egypt by divisions under the leadership of Moses and Aaron.
4764	4	33	2	33	2	At the LORD’s command, Moses recorded the stages of their journey. These are the stages listed by their starting points:
4765	4	33	3	33	3	On the fifteenth day of the first month, on the day after the Passover, the Israelites set out from Rameses. They marched out triumphantly in full view of all the Egyptians,
4766	4	33	4	33	4	who were burying all their firstborn, whom the LORD had struck down among them; for the LORD had executed judgment against their gods.
4767	4	33	5	33	5	The Israelites set out from Rameses and camped at Succoth.
4768	4	33	6	33	6	They set out from Succoth and camped at Etham, on the edge of the wilderness.
4769	4	33	7	33	7	They set out from Etham and turned back to Pi-hahiroth, opposite Baal-zephon, and they camped near Migdol.
4770	4	33	8	33	8	They set out from Pi-hahiroth and crossed through the sea, into the wilderness, and they journeyed three days into the Wilderness of Etham and camped at Marah.
4771	4	33	9	33	9	They set out from Marah and came to Elim, where there were twelve springs and seventy palm trees, and they camped there.
4772	4	33	10	33	10	They set out from Elim and camped by the Red Sea.
4773	4	33	11	33	11	They set out from the Red Sea and camped in the Desert of Sin.
4774	4	33	12	33	12	They set out from the Desert of Sin and camped at Dophkah.
4775	4	33	13	33	13	They set out from Dophkah and camped at Alush.
4776	4	33	14	33	14	They set out from Alush and camped at Rephidim, where there was no water for the people to drink.
4777	4	33	15	33	15	They set out from Rephidim and camped in the Wilderness of Sinai.
4778	4	33	16	33	16	They set out from the Wilderness of Sinai and camped at Kibroth-hattaavah.
4779	4	33	17	33	17	They set out from Kibroth-hattaavah and camped at Hazeroth.
4780	4	33	18	33	18	They set out from Hazeroth and camped at Rithmah.
4781	4	33	19	33	19	They set out from Rithmah and camped at Rimmon-perez.
4782	4	33	20	33	20	They set out from Rimmon-perez and camped at Libnah.
4783	4	33	21	33	21	They set out from Libnah and camped at Rissah.
4784	4	33	22	33	22	They set out from Rissah and camped at Kehelathah.
4785	4	33	23	33	23	They set out from Kehelathah and camped at Mount Shepher.
4786	4	33	24	33	24	They set out from Mount Shepher and camped at Haradah.
4787	4	33	25	33	25	They set out from Haradah and camped at Makheloth.
4788	4	33	26	33	26	They set out from Makheloth and camped at Tahath.
4789	4	33	27	33	27	They set out from Tahath and camped at Terah.
4790	4	33	28	33	28	They set out from Terah and camped at Mithkah.
4791	4	33	29	33	29	They set out from Mithkah and camped at Hashmonah.
4792	4	33	30	33	30	They set out from Hashmonah and camped at Moseroth.
4793	4	33	31	33	31	They set out from Moseroth and camped at Bene-jaakan.
4794	4	33	32	33	32	They set out from Bene-jaakan and camped at Hor-haggidgad.
4795	4	33	33	33	33	They set out from Hor-haggidgad and camped at Jotbathah.
4796	4	33	34	33	34	They set out from Jotbathah and camped at Abronah.
4797	4	33	35	33	35	They set out from Abronah and camped at Ezion-geber.
4798	4	33	36	33	36	They set out from Ezion-geber and camped at Kadesh in the Wilderness of Zin.
4799	4	33	37	33	37	They set out from Kadesh and camped at Mount Hor, on the outskirts of the land of Edom.
4800	4	33	38	33	38	At the LORD’s command, Aaron the priest climbed Mount Hor and died there on the first day of the fifth month, in the fortieth year after the Israelites came out of the land of Egypt.
4801	4	33	39	33	39	Aaron was 123 years old when he died on Mount Hor.
4802	4	33	40	33	40	Now the Canaanite king of Arad, who lived in the Negev in the land of Canaan, heard that the Israelites were coming.
4803	4	33	41	33	41	And the Israelites set out from Mount Hor and camped at Zalmonah.
4804	4	33	42	33	42	They set out from Zalmonah and camped at Punon.
4805	4	33	43	33	43	They set out from Punon and camped at Oboth.
4806	4	33	44	33	44	They set out from Oboth and camped at Iye-abarim on the border of Moab.
4807	4	33	45	33	45	They set out from Iyim and camped at Dibon-gad.
4808	4	33	46	33	46	They set out from Dibon-gad and camped at Almon-diblathaim.
4809	4	33	47	33	47	They set out from Almon-diblathaim and camped in the mountains of Abarim facing Nebo.
4810	4	33	48	33	48	They set out from the mountains of Abarim and camped on the plains of Moab by the Jordan across from Jericho.
4811	4	33	49	33	49	And there on the plains of Moab they camped by the Jordan, from Beth-jeshimoth to Abel-shittim.
4812	4	33	50	33	50	On the plains of Moab by the Jordan across from Jericho, the LORD said to Moses,
4813	4	33	51	33	51	“Speak to the Israelites and tell them: When you cross the Jordan into the land of Canaan,
4814	4	33	52	33	52	you must drive out all the inhabitants of the land before you, destroy all their carved images and cast idols, and demolish all their high places.
4815	4	33	53	33	53	You are to take possession of the land and settle in it, for I have given you the land to possess.
4816	4	33	54	33	54	And you are to divide the land by lot according to your clans. Give a larger inheritance to a larger clan and a smaller inheritance to a smaller one. Whatever falls to each one by lot will be his. You will receive an inheritance according to the tribes of your fathers.
4817	4	33	55	33	55	But if you do not drive out the inhabitants of the land before you, those you allow to remain will become barbs in your eyes and thorns in your sides; they will harass you in the land where you settle.
4818	4	33	56	33	56	And then I will do to you what I had planned to do to them.”
4819	4	34	1	34	1	Then the LORD said to Moses,
4820	4	34	2	34	2	“Command the Israelites and say to them: When you enter the land of Canaan, it will be allotted to you as an inheritance with these boundaries:
4821	4	34	3	34	3	Your southern border will extend from the Wilderness of Zin along the border of Edom. On the east, your southern border will run from the end of the Salt Sea,
4822	4	34	4	34	4	cross south of the Ascent of Akrabbim, continue to Zin, and go south of Kadesh-barnea. Then it will go on to Hazar-addar and proceed to Azmon,
4823	4	34	5	34	5	where it will turn from Azmon, join the Brook of Egypt, and end at the Sea.
4824	4	34	6	34	6	Your western border will be the coastline of the Great Sea; this will be your boundary on the west.
4825	4	34	7	34	7	Your northern border will run from the Great Sea directly to Mount Hor,
4826	4	34	8	34	8	and from Mount Hor to Lebo-hamath, then extend to Zedad,
4827	4	34	9	34	9	continue to Ziphron, and end at Hazar-enan. This will be your boundary on the north.
4828	4	34	10	34	10	And your eastern border will run straight from Hazar-enan to Shepham,
4829	4	34	11	34	11	then go down from Shepham to Riblah on the east side of Ain and continue along the slopes east of the Sea of Chinnereth.
4830	4	34	12	34	12	Then the border will go down along the Jordan and end at the Salt Sea. This will be your land, defined by its borders on all sides.”
4831	4	34	13	34	13	So Moses commanded the Israelites, “Apportion this land by lot as an inheritance. The LORD has commanded that it be given to the nine and a half tribes.
4832	4	34	14	34	14	For the tribes of the Reubenites and Gadites, along with the half-tribe of Manasseh, have already received their inheritance.
4833	4	34	15	34	15	These two and a half tribes have received their inheritance across the Jordan from Jericho, toward the sunrise.”
4834	4	34	16	34	16	Then the LORD said to Moses,
4835	4	34	17	34	17	“These are the names of the men who are to assign the land as an inheritance for you: Eleazar the priest and Joshua son of Nun.
4836	4	34	18	34	18	Appoint one leader from each tribe to distribute the land.
4837	4	34	19	34	19	These are their names: Caleb son of Jephunneh from the tribe of Judah;
4838	4	34	20	34	20	Shemuel son of Ammihud from the tribe of Simeon;
4839	4	34	21	34	21	Elidad son of Chislon from the tribe of Benjamin;
4840	4	34	22	34	22	Bukki son of Jogli, a leader from the tribe of Dan;
4841	4	34	23	34	23	Hanniel son of Ephod, a leader from the tribe of Manasseh son of Joseph;
4842	4	34	24	34	24	Kemuel son of Shiphtan, a leader from the tribe of Ephraim;
4843	4	34	25	34	25	Eli-zaphan son of Parnach, a leader from the tribe of Zebulun;
4844	4	34	26	34	26	Paltiel son of Azzan, a leader from the tribe of Issachar;
4845	4	34	27	34	27	Ahihud son of Shelomi, a leader from the tribe of Asher;
4846	4	34	28	34	28	and Pedahel son of Ammihud, a leader from the tribe of Naphtali.”
4847	4	34	29	34	29	These are the ones whom the LORD commanded to apportion the inheritance to the Israelites in the land of Canaan.
4848	4	35	1	35	1	Again the LORD spoke to Moses on the plains of Moab by the Jordan across from Jericho:
4849	4	35	2	35	2	“Command the Israelites to give, from the inheritance they will possess, cities for the Levites to live in and pasturelands around the cities.
4850	4	35	3	35	3	The cities will be for them to live in, and the pasturelands will be for their herds, their flocks, and all their other livestock.
4851	4	35	4	35	4	The pasturelands around the cities you are to give the Levites will extend a thousand cubits from the wall on every side.
4852	4	35	5	35	5	You are also to measure two thousand cubits outside the city on the east, two thousand on the south, two thousand on the west, and two thousand on the north, with the city in the center. These areas will serve as larger pasturelands for the cities.
4853	4	35	6	35	6	Six of the cities you give the Levites are to be appointed as cities of refuge, to which a manslayer may flee. In addition to these, give the Levites forty-two other cities.
4854	4	35	7	35	7	The total number of cities you give the Levites will be forty-eight, with their corresponding pasturelands.
4855	4	35	8	35	8	The cities that you apportion from the territory of the Israelites should be given to the Levites in proportion to the inheritance of each tribe: more from a larger tribe and less from a smaller one.”
4856	4	35	9	35	9	Then the LORD said to Moses,
4857	4	35	10	35	10	“Speak to the Israelites and tell them: When you cross the Jordan into the land of Canaan,
4858	4	35	11	35	11	designate cities to serve as your cities of refuge, so that a person who kills someone unintentionally may flee there.
4859	4	35	12	35	12	You are to have these cities as a refuge from the avenger, so that the manslayer will not die until he stands trial before the assembly.
4860	4	35	13	35	13	The cities you select will be your six cities of refuge.
4861	4	35	14	35	14	Select three cities across the Jordan and three in the land of Canaan as cities of refuge.
4862	4	35	15	35	15	These six cities will serve as a refuge for the Israelites and for the foreigner or stranger among them, so that anyone who kills a person unintentionally may flee there.
4863	4	35	16	35	16	If, however, anyone strikes a person with an iron object and kills him, he is a murderer; the murderer must surely be put to death.
4864	4	35	17	35	17	Or if anyone has in his hand a stone of deadly size, and he strikes and kills another, he is a murderer; the murderer must surely be put to death.
4865	4	35	18	35	18	If anyone has in his hand a deadly object of wood, and he strikes and kills another, he is a murderer; the murderer must surely be put to death.
4866	4	35	19	35	19	The avenger of blood is to put the murderer to death; when he finds him, he is to kill him.
4867	4	35	20	35	20	Likewise, if anyone maliciously pushes another or intentionally throws an object at him and kills him,
4868	4	35	21	35	21	or if in hostility he strikes him with his hand and he dies, the one who struck him must surely be put to death; he is a murderer. When the avenger of blood finds the murderer, he is to kill him.
4869	4	35	22	35	22	But if anyone pushes a person suddenly, without hostility, or throws an object at him unintentionally,
4870	4	35	23	35	23	or without looking drops a heavy stone that kills him, but he was not an enemy and did not intend to harm him,
4871	4	35	24	35	24	then the congregation must judge between the slayer and the avenger of blood according to these ordinances.
4872	4	35	25	35	25	The assembly is to protect the manslayer from the hand of the avenger of blood. Then the assembly will return him to the city of refuge to which he fled, and he must live there until the death of the high priest, who was anointed with the holy oil.
4873	4	35	26	35	26	But if the manslayer ever goes outside the limits of the city of refuge to which he fled
4874	4	35	27	35	27	and the avenger of blood finds him outside of his city of refuge and kills him, then the avenger will not be guilty of bloodshed
4875	4	35	28	35	28	because the manslayer must remain in his city of refuge until the death of the high priest. Only after the death of the high priest may he return to the land he owns.
4876	4	35	29	35	29	This will be a statutory ordinance for you for the generations to come, wherever you live.
4877	4	35	30	35	30	If anyone kills a person, the murderer is to be put to death on the testimony of the witnesses. But no one is to be put to death based on the testimony of a lone witness.
4878	4	35	31	35	31	You are not to accept a ransom for the life of a murderer who deserves to die; he must surely be put to death.
4879	4	35	32	35	32	Nor should you accept a ransom for the person who flees to a city of refuge and allow him to return and live on his own land before the death of the high priest.
4880	4	35	33	35	33	Do not pollute the land where you live, for bloodshed pollutes the land, and no atonement can be made for the land on which the blood is shed, except by the blood of the one who shed it.
4881	4	35	34	35	34	Do not defile the land where you live and where I dwell. For I, the LORD, dwell among the Israelites.”
4882	4	36	1	36	1	Now the family heads of the clan of Gilead son of Machir son of Manasseh, one of the clans of Joseph, approached and addressed Moses and the leaders who were the heads of the Israelite families,
4883	4	36	2	36	2	saying, “When the LORD commanded my lord to give the land as an inheritance to the Israelites by lot, He also commanded him to give the inheritance of our brother Zelophehad to his daughters.
4884	4	36	3	36	3	But if they marry any of the men from the other tribes of Israel, their inheritance will be withdrawn from the portion of our fathers and added to the tribe into which they marry. So our allotted inheritance would be taken away.
4885	4	36	4	36	4	And when the Jubilee for the Israelites comes, their inheritance will be added to the tribe into which they marry and taken away from the tribe of our fathers.”
4886	4	36	5	36	5	So at the word of the LORD, Moses commanded the Israelites: “The tribe of the sons of Joseph speaks correctly.
4887	4	36	6	36	6	This is what the LORD has commanded concerning the daughters of Zelophehad: They may marry anyone they please, provided they marry within a clan of the tribe of their father.
4888	4	36	7	36	7	No inheritance in Israel may be transferred from tribe to tribe, because each of the Israelites is to retain the inheritance of the tribe of his fathers.
4889	4	36	8	36	8	Every daughter who possesses an inheritance from any Israelite tribe must marry within a clan of the tribe of her father, so that every Israelite will possess the inheritance of his fathers.
4890	4	36	9	36	9	No inheritance may be transferred from one tribe to another, for each tribe of Israel must retain its inheritance.”
4891	4	36	10	36	10	So the daughters of Zelophehad did as the LORD had commanded Moses.
4892	4	36	11	36	11	Mahlah, Tirzah, Hoglah, Milcah, and Noah, the daughters of Zelophehad, were married to cousins on their father’s side.
4893	4	36	12	36	12	They married within the clans of the descendants of Manasseh son of Joseph, and their inheritance remained within the tribe of their father’s clan.
4894	4	36	13	36	13	These are the commandments and ordinances that the LORD gave the Israelites through Moses on the plains of Moab by the Jordan across from Jericho.
4895	5	1	1	1	1	These are the words that Moses spoke to all Israel in the wilderness east of the Jordan—in the Arabah opposite Suph—between Paran and Tophel, Laban, Hazeroth, and Di-zahab.
4896	5	1	2	1	2	It is an eleven-day journey from Horeb to Kadesh-barnea by way of Mount Seir.
4897	5	1	3	1	3	In the fortieth year, on the first day of the eleventh month, Moses proclaimed to the Israelites everything that the LORD had commanded him concerning them.
4898	5	1	4	1	4	This was after he had defeated Sihon king of the Amorites, who lived in Heshbon, and then at Edrei had defeated Og king of Bashan, who lived in Ashtaroth.
4899	5	1	5	1	5	On the east side of the Jordan in the land of Moab, Moses began to explain this law, saying:
